age,income,debt_ratio,n_defaults,default
71,134,0.456,0,0
54,285,0.249,0,0
57,151,0.566,0,0
69,79,0.342,0,0
51,309,0.34,0,0
62,786,0.306,0,0
65,413,0.364,0,0
32,224,0.285,0,0
23,252,0.337,0,0
36,710,0.187,1,0
35,437,0.294,0,0
68,413,0.692,0,1
70,393,0.34,1,0
20,411,0.314,0,0
47,603,0.43,0,0
65,532,0.456,0,1
27,449,0.183,1,0
63,240,0.319,1,0
26,521,0.488,0,0
45,287,0.39,0,0
64,697,0.368,1,1
36,214,0.583,0,0
38,377,0.248,0,0
35,402,0.362,0,0
59,208,0.272,0,0
34,954,0.574,0,0
74,837,0.057,0,0
44,320,0.249,0,0
46,593,0.271,0,0
47,488,0.45,0,0
52,109,0.441,0,0
50,457,0.559,0,0
48,391,0.114,0,0
74,421,0.463,0,0
64,235,0.306,0,0
63,353,0.25,0,0
58,369,0.431,0,0
54,731,0.212,0,0
38,477,0.038,0,0
74,402,0.294,0,0
45,867,0.125,0,0
31,306,0.253,0,0
66,332,0.406,0,0
28,163,0.397,0,0
67,884,0.588,0,0
53,653,0.32,1,0
26,638,0.12,0,0
22,564,0.237,0,0
44,426,0.212,0,0
21,449,0.167,0,0
27,356,0.415,0,0
48,364,0.253,0,0
73,415,0.053,0,0
45,859,0.455,0,0
64,533,0.333,0,0
70,392,0.404,0,0
65,302,0.366,0,0
54,294,0.445,0,0
44,899,0.356,0,0
48,520,0.535,0,0
34,417,0.414,0,0
47,339,0.409,0,0
40,232,0.411,0,0
33,390,0.132,0,0
74,624,0.325,0,0
20,332,0.311,0,0
25,360,0.381,0,0
30,361,0.146,0,0
73,426,0.595,0,0
58,182,0.366,1,0
68,359,0.168,0,0
31,263,0.094,0,0
59,628,0.308,0,0
40,274,0.337,1,0
46,538,0.242,0,0
20,865,0.364,0,0
53,345,0.254,0,0
65,299,0.433,0,0
56,444,0.241,0,0
28,403,0.344,0,0
49,245,0.497,1,1
34,508,0.736,0,0
73,1105,0.199,0,0
68,355,0.28,0,0
30,365,0.224,0,0
48,239,0.468,0,0
71,473,0.178,1,1
66,216,0.277,0,0
58,232,0.346,0,0
55,765,0.203,1,0
22,257,0.206,0,0
60,693,0.279,2,0
46,865,0.035,0,0
25,459,0.133,0,0
33,532,0.288,0,0
49,1071,0.372,0,0
59,366,0.322,1,0
47,300,0.084,0,0
53,205,0.28,0,0
67,412,0.47,0,0
57,845,0.433,0,0
39,652,0.338,0,0
55,252,0.217,0,0
52,263,0.445,0,0
25,314,0.263,0,0
23,467,0.175,0,0
56,364,0.23,0,0
41,449,0.567,0,0
52,468,0.383,0,0
37,347,0.524,0,0
32,395,0.278,0,0
28,447,0.491,0,0
40,387,0.26,0,0
64,519,0.326,0,0
42,1028,0.723,0,1
40,542,0.465,1,0
51,415,0.275,0,0
73,174,0.337,0,0
41,490,0.399,1,0
52,152,0.532,0,0
44,199,0.277,0,0
53,619,0.089,1,0
44,574,0.308,0,0
55,374,0.352,0,0
50,172,0.366,0,0
57,335,0.548,0,0
72,287,0.398,0,1
28,555,0.472,0,1
50,1247,0.185,0,0
44,450,0.48,0,0
39,273,0.664,1,0
33,225,0.466,0,0
22,392,0.388,1,0
42,369,0.373,0,0
65,227,0.618,0,0
25,428,0.211,0,0
42,227,0.333,1,0
73,703,0.419,0,0
72,686,0.462,1,0
31,694,0.284,0,0
20,318,0.396,0,0
56,522,0.308,0,0
20,378,0.368,0,0
36,332,0.33,0,0
47,341,0.179,0,0
68,211,0.347,0,0
25,196,0.482,1,1
56,600,0.205,0,1
49,367,0.314,1,0
27,450,0.45,2,0
66,666,0.19,0,0
66,170,0.377,0,0
46,273,0.191,0,1
71,440,0.52,0,0
53,491,0.697,0,0
69,334,0.653,0,0
72,675,0.317,1,0
51,448,0.461,1,0
35,220,0.368,0,0
28,253,0.365,0,0
50,603,0.582,0,0
30,509,0.152,0,0
61,156,0.508,1,0
71,791,0.343,0,1
33,544,0.561,0,0
50,790,0.378,0,0
22,333,0.249,0,0
29,348,0.392,0,0
40,230,0.46,0,0
68,1434,0.355,0,0
73,370,0.423,0,0
55,892,0.272,0,0
52,292,0.03,0,0
51,438,0.485,0,0
23,175,0.455,0,0
40,333,0.372,1,0
74,660,0.36,0,1
42,216,0.505,0,0
31,690,0.281,0,0
33,478,0.244,0,0
59,239,0.322,0,0
22,314,0.528,0,0
73,321,0.142,1,0
68,394,0.529,1,1
51,309,0.254,0,0
45,267,0.185,0,0
61,346,0.539,0,0
50,241,0.335,0,0
46,212,0.155,0,0
37,394,0.296,0,0
44,627,0.49,0,0
61,188,0.529,0,0
23,404,0.286,0,0
21,291,0.411,0,0
59,248,0.457,0,0
40,618,0.253,0,0
64,311,0.403,0,0
21,853,0.345,0,0
69,273,0.27,0,0
26,489,0.276,0,0
42,360,0.36,0,0
73,277,0.354,1,0
25,541,0.265,0,0
56,373,0.286,0,0
60,545,0.517,0,0
43,394,0.382,1,0
24,234,0.483,0,0
48,383,0.53,0,0
43,414,0.438,0,0
68,651,0.691,1,0
57,256,0.226,0,0
38,396,0.471,0,0
23,171,0.302,0,0
52,559,0.628,1,0
35,235,0.605,1,0
57,164,0.057,0,0
67,392,0.205,0,1
39,701,0.45,0,0
