date,MKT,SMB,HML,RF
2015-01-31,0.014565,-0.013424,-0.011809,-0.000576
2015-02-28,0.088958,0.034696,-0.008773,0.00128
2015-03-31,0.018822,-0.014321,0.036364,0.000654
2015-04-30,-0.009354,-0.021201,0.01826,0.000776
2015-05-31,0.031019,-0.015861,0.006893,0.000318
2015-06-30,0.044699,0.007095,0.013951,0.00107
2015-07-31,-0.040852,0.024275,0.073746,-0.000113
2015-08-31,-0.074045,-0.041774,0.031649,0.000908
2015-09-30,0.05564,0.022521,0.009794,0.000997
2015-10-31,-0.002008,0.026737,-0.036635,0.00059
2015-11-30,0.017054,0.053669,-0.023982,0.00021
2015-12-31,-0.020184,0.029647,-0.005641,0.001598
2016-01-31,-0.080655,0.034244,0.038349,1.4e-05
2016-02-29,0.012927,0.036763,0.005546,0.001411
2016-03-31,0.115525,0.009574,-0.007213,0.000388
2016-04-30,0.035766,-0.004012,-0.003692,0.000773
2016-05-31,0.03585,-0.029116,-0.050496,-0.000572
2016-06-30,0.061198,0.003797,0.054812,0.000828
2016-07-31,-0.028445,0.015463,-0.000153,0.000109
2016-08-31,-0.035046,0.052669,0.014775,0.001074
2016-09-30,-0.00694,-0.018244,0.033388,0.000773
2016-10-31,-0.029228,-0.002205,-0.028871,0.000943
2016-11-30,0.05799,-0.022469,0.051986,0.000448
2016-12-31,0.012919,-0.022478,-0.005198,0.000861
2017-01-31,-0.014244,-0.018624,-0.020983,0.000359
2017-02-28,-0.066686,-0.005925,0.016397,0.001358
2017-03-31,0.035722,0.072604,0.013539,0.00057
2017-04-30,0.09228,-0.028564,0.036049,0.000282
2017-05-31,0.022189,-0.055156,0.033652,0.000742
2017-06-30,-0.038862,0.050118,0.029013,0.00086
2017-07-31,-0.028597,0.000415,-0.003179,0.001252
2017-08-31,0.042695,-0.01761,-0.016531,0.000526
2017-09-30,-0.056489,-0.015411,-0.000701,0.001232
2017-10-31,0.066819,-0.021668,0.021586,0.000577
2017-11-30,0.101682,0.00026,0.019894,0.000293
2017-12-31,-0.031611,0.007489,-0.010804,0.001037
2018-01-31,-0.066304,0.020777,-0.028659,0.001828
2018-02-28,-0.00749,0.033342,-0.045824,0.001081
2018-03-31,-0.035183,-0.012389,0.003352,0.00065
2018-04-30,0.018039,0.02325,0.025113,0.000783
2018-05-31,-0.057141,-0.021561,-0.004281,-0.000392
2018-06-30,0.04057,-0.005251,-0.006206,0.001381
2018-07-31,0.036683,0.008046,-0.032187,0.001013
2018-08-31,0.021823,-0.023875,0.038641,0.001127
2018-09-30,-0.08514,0.005187,-0.04131,0.001489
2018-10-31,0.043108,-0.030191,-0.028153,0.000892
2018-11-30,-0.005197,0.045695,0.028168,0.00067
2018-12-31,0.032502,-0.057,0.013234,0.001334
2019-01-31,-0.002432,-0.018835,0.022101,0.001964
2019-02-28,0.015296,-0.030685,0.052584,-0.000251
2019-03-31,0.029075,-0.015133,0.034737,0.000343
2019-04-30,0.066979,0.010335,-0.05732,-0.000306
2019-05-31,-0.008766,0.039027,0.0069,0.000872
2019-06-30,-0.005063,0.022968,0.015571,0.000995
2019-07-31,-0.039649,0.035957,0.049718,8.2e-05
2019-08-31,0.112135,0.022524,-0.014405,-0.000266
2019-09-30,0.036172,0.017761,-0.018133,-0.0002
2019-10-31,0.057771,-0.015317,-0.013842,0.002476
2019-11-30,0.10412,0.029199,-0.013276,0.001208
2019-12-31,-0.099543,0.004742,-0.023821,9.1e-05
2020-01-31,-0.067273,0.016826,0.005593,0.000926
2020-02-29,0.044741,-0.022758,-0.040302,-0.000192
2020-03-31,-0.009649,0.02361,-0.002676,0.001203
2020-04-30,-0.048717,-0.011876,-0.024033,0.000113
2020-05-31,0.091719,0.026266,-0.02389,0.000391
2020-06-30,0.003192,-0.039962,0.017597,8.6e-05
2020-07-31,-0.011276,-0.027917,-0.014122,6.5e-05
2020-08-31,-0.066812,-0.026223,-0.021056,0.000663
2020-09-30,0.00902,0.045744,0.030637,0.000687
2020-10-31,0.039362,-0.01822,0.052677,0.001151
2020-11-30,-0.05679,0.023473,0.03077,-0.000717
2020-12-31,-0.02872,-0.012011,-0.064306,0.000217
2021-01-31,-0.037969,0.016305,0.012908,0.00235
2021-02-28,-0.012377,0.034958,0.005231,0.00099
2021-03-31,-0.047728,-0.053496,-0.024075,0.001273
2021-04-30,0.07894,0.019102,0.019761,0.000349
2021-05-31,0.076699,0.040459,-0.015889,0.000807
2021-06-30,-0.040172,0.044021,0.016577,0.000778
2021-07-31,0.024627,0.014386,-0.011755,0.000117
2021-08-31,-0.05346,-0.048516,0.018478,0.002114
2021-09-30,-0.072643,0.005659,0.016737,0.000265
2021-10-31,0.015275,-0.029999,0.044083,0.00049
2021-11-30,0.010478,0.021419,-0.012389,-0.000201
2021-12-31,-0.018704,0.023692,-0.000428,0.000966
2022-01-31,-0.044068,0.005801,0.027724,0.000854
2022-02-28,0.093961,-0.004332,-0.033573,-0.000101
2022-03-31,0.059042,-3.7e-05,0.037544,0.001098
2022-04-30,0.080893,0.038216,-0.010579,0.000991
2022-05-31,0.055965,-0.034016,0.052761,0.001533
2022-06-30,0.051233,-0.004134,0.012966,0.000188
2022-07-31,0.00851,-0.01529,0.005499,0.000548
2022-08-31,0.018942,0.035711,-0.042866,0.001368
2022-09-30,-0.086165,-0.060717,-0.001635,0.000837
2022-10-31,0.026285,-0.045889,0.000424,0.000906
2022-11-30,0.063809,-0.001331,0.020825,0.000269
2022-12-31,-0.002829,-0.011195,0.026863,0.000262
2023-01-31,-0.032702,0.018294,0.064488,0.001054
2023-02-28,0.019854,-0.008326,0.040204,0.001145
2023-03-31,0.085886,0.011213,-0.030363,0.000504
2023-04-30,-0.039773,-0.034441,0.046276,0.001299
2023-05-31,-0.051377,0.053089,0.010972,0.000281
2023-06-30,0.023672,-0.000331,-0.024266,-0.000288
2023-07-31,0.007529,0.010096,-0.086842,0.001154
2023-08-31,0.034361,-0.011895,0.006384,0.000671
2023-09-30,-0.032831,-0.008727,0.049321,-4e-06
2023-10-31,0.016789,0.006982,-0.022013,0.000579
2023-11-30,-0.058849,-0.022927,0.003018,0.001022
2023-12-31,-0.035661,0.089896,-0.017257,0.000907
2024-01-31,-0.004817,-0.009874,0.04757,0.000557
2024-02-29,0.067466,0.034628,-0.033723,0.001431
2024-03-31,-0.024206,0.080661,-0.010866,0.00029
2024-04-30,-0.082435,-0.03566,-0.017614,0.000257
2024-05-31,-0.050917,-0.018406,-0.004655,0.00167
2024-06-30,-0.072838,-0.014258,-0.030544,-4.1e-05
2024-07-31,-0.052647,-0.02448,0.027339,0.000721
2024-08-31,-0.019015,0.019313,0.012226,0.000704
2024-09-30,0.023583,-0.022246,0.024233,0.001103
2024-10-31,-0.01321,-0.033537,0.055157,0.000888
2024-11-30,0.146765,-0.017196,0.032043,0.000583
2024-12-31,0.01755,0.025725,-0.025189,0.000776
