area,bedrooms,age,station_min,price
83.1,5,17,24,22034
67.5,4,48,8,13572
69.5,3,32,21,10280
70.0,2,43,18,8051
119.0,3,29,15,31121
90.6,3,20,10,27750
93.9,4,3,7,37351
66.4,2,27,27,9046
94.4,3,46,6,22041
49.8,1,3,18,8756
44.1,2,26,14,7155
108.0,3,47,2,31021
40.7,4,5,22,8373
118.3,2,29,15,29786
106.2,3,24,11,26571
102.8,5,2,16,44842
43.8,5,26,26,7997
56.6,3,44,24,6911
108.0,2,37,20,20828
74.6,3,35,28,8796
90.2,4,34,20,18036
49.8,3,49,20,6223
54.9,4,12,19,13360
79.8,2,4,17,19436
100.8,2,8,7,33236
83.2,2,21,16,16420
48.6,1,25,19,6495
109.3,3,5,5,49176
51.2,4,34,19,8911
75.2,3,47,22,10023
86.9,5,10,13,30922
65.5,3,7,15,13982
73.4,3,24,8,16025
111.0,4,35,12,32215
76.3,3,5,16,19403
83.1,3,33,22,15318
117.6,2,8,24,22472
62.1,1,30,11,10145
111.6,2,37,8,30172
68.9,2,23,21,10838
65.0,3,44,15,11003
110.5,2,21,10,30665
45.2,3,32,25,6384
109.3,2,39,6,29201
106.2,3,47,26,13780
111.6,5,30,17,26957
44.8,4,19,10,12805
59.1,3,16,27,9616
102.0,2,7,6,34741
74.9,4,36,6,19492
40.4,4,7,23,10028
95.4,1,33,5,19387
104.0,4,49,20,20189
117.9,5,21,10,51720
52.1,2,8,12,10606
60.2,2,35,25,7082
107.3,4,44,8,30126
47.3,3,8,14,10831
61.9,1,8,12,13978
76.1,3,21,11,17612
73.5,4,29,25,13524
83.4,4,39,11,21724
109.5,1,45,9,17711
90.5,1,39,10,13390
92.3,3,34,7,24356
87.4,3,37,16,15888
56.9,5,37,21,11041
76.0,4,49,12,16901
119.0,3,29,22,25838
112.7,4,19,5,51325
101.4,3,9,23,23873
82.7,2,45,22,9686
109.5,2,20,13,29655
90.5,3,38,5,22866
71.8,4,9,1,31291
82.1,3,38,16,15024
55.9,1,5,26,9022
85.8,5,16,15,27850
65.1,4,39,23,8464
102.5,1,4,1,34925
106.2,4,13,9,39474
119.5,2,38,8,33821
106.8,1,8,10,26820
44.7,3,3,24,9445
97.9,4,10,14,30855
104.7,2,32,25,13889
109.8,3,18,23,25214
79.3,4,0,26,20472
78.1,2,49,5,13375
82.5,3,9,5,30005
52.4,2,25,5,12112
116.6,1,22,22,22938
119.0,4,20,9,44839
61.0,3,41,11,10731
116.6,3,30,21,27599
56.7,3,14,7,15438
46.8,3,8,25,7816
98.6,3,46,6,22483
105.3,1,12,13,26683
56.0,2,47,26,6318
116.3,1,39,24,18670
72.0,2,37,29,7146
54.9,3,49,11,9505
64.0,3,17,17,11261
49.0,3,29,26,6537
101.7,3,22,28,17185
62.8,4,11,12,20662
95.5,4,48,4,26800
76.9,1,43,3,14014
50.0,1,28,1,9923
87.0,3,17,11,26260
117.4,4,29,14,35447
54.8,4,0,8,20312
117.0,1,28,26,21078
49.4,3,10,15,11282
86.1,2,7,15,21826
53.9,2,49,6,7189
119.7,4,49,8,36679
84.0,3,3,3,26837
109.7,4,29,27,23849
96.6,3,4,9,34927
75.9,5,33,19,17136
60.8,2,1,10,20115
109.8,3,40,11,20720
110.8,5,24,26,30003
102.7,4,24,17,26452
104.5,1,21,1,33090
43.3,2,12,19,8427
57.5,3,3,22,12416
84.4,3,46,3,18183
46.3,2,48,25,4483
87.2,4,8,16,26804
115.8,4,10,7,45498
68.3,3,18,18,15333
95.2,2,5,4,31067
56.2,2,35,3,12197
103.7,2,28,28,14185
111.7,3,22,6,40545
105.2,3,29,17,23511
75.3,4,29,1,25498
67.9,3,29,13,15344
46.7,3,11,7,12672
107.8,2,18,2,37546
112.3,5,42,1,45456
84.7,3,13,29,17265
101.1,2,43,18,14367
58.2,2,2,1,20061
100.5,4,21,24,22985
60.0,2,8,11,12540
98.3,5,45,4,29880
41.0,3,8,18,8890
70.8,4,43,26,11011
59.1,3,14,9,13963
43.2,3,32,7,10823
60.8,3,14,6,16289
113.5,4,11,1,62454
64.2,4,25,2,16708
49.3,4,1,13,14232
93.3,3,7,5,34755
101.8,4,46,9,23212
67.6,4,11,28,11135
113.9,2,46,11,23702
95.8,1,4,22,20597
83.0,5,30,10,24197
111.7,3,27,4,37603
104.7,1,26,23,17455
88.3,4,35,8,22393
60.1,4,36,11,14129
81.8,3,28,2,25993
89.6,2,19,25,13126
111.8,4,0,11,55829
115.1,3,15,20,33833
44.9,1,49,22,4575
82.1,2,17,20,16199
115.0,2,9,20,34674
74.5,4,17,23,18835
100.3,4,28,23,25494
58.4,5,27,6,17370
109.7,2,34,7,32058
53.9,3,0,27,8950
61.0,3,4,29,11901
59.7,3,11,17,14159
51.4,1,13,13,10640
93.6,1,28,1,21255
107.4,1,35,13,23473
52.6,3,44,6,11704
55.9,3,17,20,10882
71.8,1,26,27,7292
64.1,1,30,17,9249
91.0,3,14,19,19577
49.4,3,0,7,13744
86.6,3,47,1,19327
80.3,4,33,24,17576
49.4,3,42,3,9257
75.9,1,6,28,10817
70.0,2,13,28,10633
45.4,3,29,24,7570
66.1,3,49,7,10880
91.4,4,40,15,17679
110.0,4,34,13,33633
