date,GDP_yoy,CPI_yoy,UnempRate,FedFunds
2015-01-31,1.96,1.613,3.998,0.526
2015-02-28,1.894,1.54,4.051,0.518
2015-03-31,1.881,1.555,4.065,0.467
2015-04-30,1.902,1.537,4.09,0.469
2015-05-31,1.959,1.473,4.084,0.522
2015-06-30,1.965,1.412,4.033,0.49
2015-07-31,1.937,1.411,4.004,0.498
2015-08-31,1.898,1.437,4.03,0.375
2015-09-30,1.935,1.405,4.034,0.365
2015-10-31,2.017,1.408,3.998,0.517
2015-11-30,2.031,1.451,3.934,0.516
2015-12-31,1.969,1.469,3.938,0.57
2016-01-31,1.921,1.521,3.924,0.536
2016-02-29,2.001,1.549,3.91,0.511
2016-03-31,2.011,1.578,3.897,0.501
2016-04-30,1.924,1.688,3.909,0.429
2016-05-31,1.92,1.725,3.92,0.544
2016-06-30,1.862,1.733,3.959,0.47
2016-07-31,1.831,1.776,3.996,0.525
2016-08-31,1.806,1.721,4.049,0.51
2016-09-30,1.771,1.7,4.081,0.514
2016-10-31,1.798,1.748,4.068,0.545
2016-11-30,1.795,1.786,4.066,0.476
2016-12-31,1.766,1.879,4.086,0.481
2017-01-31,1.786,1.879,4.073,0.457
2017-02-28,1.828,1.791,4.095,0.481
2017-03-31,1.745,1.908,4.141,0.583
2017-04-30,1.733,1.974,4.109,0.482
2017-05-31,1.684,1.91,4.039,0.559
2017-06-30,1.675,1.993,4.086,0.541
2017-07-31,1.61,1.995,4.087,0.536
2017-08-31,1.612,1.886,4.115,0.54
2017-09-30,1.61,1.861,4.062,0.449
2017-10-31,1.594,1.83,4.131,0.519
2017-11-30,1.542,1.926,4.161,0.579
2017-12-31,1.522,1.878,4.156,0.465
2018-01-31,1.468,1.863,4.142,0.498
2018-02-28,1.4,1.846,4.146,0.466
2018-03-31,1.411,1.824,4.14,0.516
2018-04-30,1.356,1.769,4.128,0.446
2018-05-31,1.414,1.782,4.084,0.58
2018-06-30,1.45,1.847,4.134,0.481
2018-07-31,1.35,1.884,4.133,0.423
2018-08-31,1.364,1.828,4.136,0.59
2018-09-30,1.309,1.759,4.139,0.549
2018-10-31,1.31,1.766,4.045,0.526
2018-11-30,1.312,1.724,4.066,0.527
2018-12-31,1.213,1.686,4.053,0.482
2019-01-31,1.201,1.586,4.041,0.489
2019-02-28,1.189,1.703,4.044,0.536
2019-03-31,1.237,1.758,4.005,0.546
2019-04-30,1.178,1.699,4.039,0.547
2019-05-31,1.214,1.754,4.011,0.511
2019-06-30,1.16,1.834,3.975,0.477
2019-07-31,1.143,1.691,3.941,0.49
2019-08-31,1.101,1.658,3.947,0.555
2019-09-30,1.173,1.635,3.977,0.572
2019-10-31,1.202,1.673,3.953,0.483
2019-11-30,1.323,1.666,3.892,0.476
2019-12-31,1.355,1.652,3.935,0.562
2020-01-31,1.398,1.649,3.892,0.536
2020-02-29,1.44,1.76,3.94,0.535
2020-03-31,1.409,1.89,3.938,0.434
2020-04-30,1.406,1.858,3.91,0.481
2020-05-31,1.473,1.803,3.884,0.474
2020-06-30,1.454,1.964,3.903,0.51
2020-07-31,1.463,1.905,3.939,0.416
2020-08-31,1.462,1.871,3.931,0.564
2020-09-30,1.492,1.873,3.968,0.515
2020-10-31,1.474,1.902,4.052,0.522
2020-11-30,1.467,1.964,4.044,0.441
2020-12-31,1.479,1.987,3.998,0.499
2021-01-31,1.484,1.935,3.955,0.567
2021-02-28,1.441,1.965,3.9,0.422
2021-03-31,1.485,1.98,3.874,0.515
2021-04-30,1.42,2.093,3.845,0.572
2021-05-31,1.36,2.092,3.792,0.502
2021-06-30,1.296,2.012,3.814,0.545
2021-07-31,1.345,1.949,3.709,0.483
2021-08-31,1.327,2.036,3.656,0.576
2021-09-30,1.278,2.004,3.737,0.528
2021-10-31,1.221,1.877,3.778,0.511
2021-11-30,1.242,1.843,3.799,0.6
2021-12-31,1.19,1.843,3.818,0.542
2022-01-31,1.126,1.914,3.888,0.565
2022-02-28,1.157,1.853,3.91,0.441
2022-03-31,1.097,1.893,3.913,0.468
2022-04-30,1.081,1.941,3.864,0.542
2022-05-31,1.08,1.899,3.861,0.545
2022-06-30,1.058,1.888,3.831,0.497
2022-07-31,1.055,1.994,3.803,0.539
2022-08-31,1.122,2.097,3.775,0.486
2022-09-30,1.097,2.148,3.773,0.57
2022-10-31,1.034,2.168,3.76,0.51
2022-11-30,0.942,2.237,3.794,0.612
2022-12-31,0.931,2.228,3.741,0.567
2023-01-31,0.914,2.222,3.735,0.557
2023-02-28,0.927,2.171,3.809,0.571
2023-03-31,0.904,2.171,3.811,0.659
2023-04-30,0.88,2.166,3.859,0.516
2023-05-31,0.844,2.333,3.904,0.603
2023-06-30,0.818,2.321,3.957,0.682
2023-07-31,0.826,2.397,3.986,0.638
2023-08-31,0.807,2.477,3.931,0.779
2023-09-30,0.812,2.465,3.92,0.697
2023-10-31,0.907,2.535,3.905,0.719
2023-11-30,0.931,2.405,3.843,0.68
2023-12-31,0.852,2.411,3.825,0.751
2024-01-31,0.939,2.462,3.775,0.718
2024-02-29,0.956,2.318,3.708,0.653
2024-03-31,0.909,2.249,3.716,0.612
2024-04-30,0.954,2.312,3.715,0.547
2024-05-31,0.955,2.297,3.687,0.574
2024-06-30,0.925,2.231,3.649,0.666
2024-07-31,0.893,2.208,3.627,0.624
2024-08-31,0.843,2.176,3.612,0.596
2024-09-30,0.846,2.219,3.595,0.62
2024-10-31,0.899,2.246,3.593,0.571
2024-11-30,0.883,2.23,3.576,0.609
2024-12-31,0.904,2.19,3.591,0.531
