expiry,strike,call_bid,call_ask,put_bid,put_ask,iv
<built-in function exp>,80.0,19.8,20.82,0.01,0.53,0.224
<built-in function exp>,82.0,17.88,18.8,0.01,0.51,0.2232
<built-in function exp>,84.0,15.99,16.8,0.01,0.51,0.2226
<built-in function exp>,86.0,14.12,14.85,0.01,0.54,0.222
<built-in function exp>,88.0,12.31,12.94,0.01,0.63,0.2214
<built-in function exp>,90.0,10.58,11.12,0.26,0.8,0.221
<built-in function exp>,92.0,8.94,9.4,0.61,1.07,0.2206
<built-in function exp>,94.0,7.42,7.8,1.09,1.47,0.2204
<built-in function exp>,96.0,6.05,6.36,1.7,2.01,0.2202
<built-in function exp>,98.0,4.83,5.08,2.48,2.73,0.22
<built-in function exp>,100.0,3.78,3.97,3.42,3.62,0.22
<built-in function exp>,102.0,2.86,3.09,4.49,4.72,0.22
<built-in function exp>,104.0,2.08,2.38,5.72,6.01,0.2202
<built-in function exp>,106.0,1.46,1.82,7.08,7.45,0.2204
<built-in function exp>,108.0,0.96,1.4,8.58,9.02,0.2206
<built-in function exp>,110.0,0.58,1.1,10.19,10.71,0.221
<built-in function exp>,112.0,0.28,0.89,11.88,12.49,0.2214
<built-in function exp>,114.0,0.05,0.75,13.64,14.34,0.222
<built-in function exp>,116.0,0.01,0.66,15.46,16.25,0.2226
<built-in function exp>,118.0,0.01,0.62,17.31,18.2,0.2232
<built-in function exp>,120.0,0.01,0.61,19.2,20.18,0.224
<built-in function exp>,80.0,20.47,21.52,0.01,0.84,0.224
<built-in function exp>,82.0,18.68,19.64,0.01,0.94,0.2232
<built-in function exp>,84.0,16.94,17.81,0.23,1.1,0.2226
<built-in function exp>,86.0,15.26,16.04,0.53,1.31,0.222
<built-in function exp>,88.0,13.65,14.35,0.9,1.6,0.2214
<built-in function exp>,90.0,12.13,12.75,1.36,1.98,0.221
<built-in function exp>,92.0,10.69,11.24,1.91,2.46,0.2206
<built-in function exp>,94.0,9.36,9.84,2.56,3.04,0.2204
<built-in function exp>,96.0,8.12,8.54,3.31,3.72,0.2202
<built-in function exp>,98.0,7.0,7.36,4.17,4.53,0.22
<built-in function exp>,100.0,5.99,6.3,5.14,5.45,0.22
<built-in function exp>,102.0,5.06,5.38,6.19,6.51,0.22
<built-in function exp>,104.0,4.21,4.59,7.33,7.7,0.2202
<built-in function exp>,106.0,3.47,3.91,8.56,9.0,0.2204
<built-in function exp>,108.0,2.81,3.32,9.9,10.4,0.2206
<built-in function exp>,110.0,2.25,2.83,11.31,11.89,0.221
<built-in function exp>,112.0,1.76,2.42,12.81,13.47,0.2214
<built-in function exp>,114.0,1.34,2.08,14.37,15.11,0.222
<built-in function exp>,116.0,0.99,1.81,16.0,16.82,0.2226
<built-in function exp>,118.0,0.68,1.59,17.68,18.58,0.2232
<built-in function exp>,120.0,0.42,1.42,19.4,20.4,0.224
<built-in function exp>,80.0,21.3,22.39,0.22,1.31,0.224
<built-in function exp>,82.0,19.61,20.62,0.51,1.52,0.2232
<built-in function exp>,84.0,17.99,18.91,0.86,1.78,0.2226
<built-in function exp>,86.0,16.42,17.26,1.26,2.11,0.222
<built-in function exp>,88.0,14.92,15.69,1.74,2.51,0.2214
<built-in function exp>,90.0,13.5,14.19,2.29,2.98,0.221
<built-in function exp>,92.0,12.16,12.78,2.92,3.55,0.2206
<built-in function exp>,94.0,10.9,11.46,3.64,4.2,0.2204
<built-in function exp>,96.0,9.73,10.23,4.44,4.94,0.2202
<built-in function exp>,98.0,8.65,9.09,5.33,5.78,0.22
<built-in function exp>,100.0,7.66,8.05,6.31,6.71,0.22
<built-in function exp>,102.0,6.74,7.11,7.36,7.74,0.22
<built-in function exp>,104.0,5.86,6.3,8.47,8.9,0.2202
<built-in function exp>,106.0,5.08,5.57,9.65,10.15,0.2204
<built-in function exp>,108.0,4.36,4.92,10.91,11.47,0.2206
<built-in function exp>,110.0,3.73,4.35,12.25,12.87,0.221
<built-in function exp>,112.0,3.15,3.85,13.65,14.35,0.2214
<built-in function exp>,114.0,2.65,3.42,15.11,15.89,0.222
<built-in function exp>,116.0,2.2,3.05,16.64,17.49,0.2226
<built-in function exp>,118.0,1.8,2.73,18.21,19.14,0.2232
<built-in function exp>,120.0,1.44,2.46,19.83,20.85,0.224
