ticker,weight,sector,country
T0001,0.0188,Materials,US
T0002,0.0533,Healthcare,US
T0003,0.062,Materials,EM
T0004,0.0261,Tech,US
T0005,0.0088,Energy,JP
T0006,0.0117,Financials,EM
T0007,0.1159,Consumer,US
T0008,0.0068,Tech,US
T0009,0.0192,Industrials,US
T0010,0.0109,Healthcare,JP
T0011,0.0029,Industrials,US
T0012,0.0091,Financials,EU
T0013,0.0514,Financials,JP
T0014,0.0084,Consumer,US
T0015,0.0143,Materials,JP
T0016,0.0042,Financials,JP
T0017,0.0116,Materials,JP
T0018,0.0265,Materials,EM
T0019,0.0707,Tech,EU
T0020,0.0084,Energy,JP
T0021,0.0655,Consumer,EU
T0022,0.0256,Materials,JP
T0023,0.0237,Energy,EM
T0024,0.0508,Tech,US
T0025,0.0514,Healthcare,EU
T0026,0.0412,Healthcare,JP
T0027,0.0753,Healthcare,JP
T0028,0.0313,Materials,JP
T0029,0.0263,Financials,EM
T0030,0.0678,Tech,US
