YearMonth,Equity_DM,Equity_EM,Bond_DM,REIT,Commod,Cash
202001,-0.032636,0.00415,-0.004957,0.025439,-0.046196,0.001359
202002,0.037568,0.034349,-6.9e-05,0.043667,-0.007134,0.00161
202003,0.045011,0.053663,-0.003075,0.011462,0.032124,0.000398
202004,0.020918,0.05308,-0.019732,0.035099,0.039606,0.00209
202005,0.071536,0.148894,-0.007189,0.079624,0.178286,0.001116
202006,-0.02629,-0.136782,-0.013118,-0.116923,-0.009853,0.001661
202007,0.015723,0.012491,0.020011,0.005768,0.100404,3.2e-05
202008,0.00308,0.002625,0.000636,-0.008515,0.05115,9.9e-05
202009,-0.027951,-0.013889,-0.003621,0.012901,-0.057301,1.8e-05
202010,-0.029613,-0.076254,0.025199,-0.014009,0.032094,0.000569
202011,-0.021448,0.042626,0.004012,-0.015115,-0.015008,0.000149
202012,0.007667,0.040522,-0.01869,-0.046044,-0.047298,0.00022
202101,0.064363,0.048356,0.002762,0.047998,-0.007394,-0.001256
202102,0.015929,-0.011574,0.028417,0.025785,0.031742,-0.000643
202103,-0.019055,-0.018779,-0.002565,-0.03812,-0.059473,0.00144
202104,-0.030243,-0.033208,-0.011427,-0.023951,-0.036841,-0.00255
202105,0.020964,0.046274,0.010622,-0.036946,0.001041,0.002162
202106,0.029259,-0.009373,0.016029,0.055253,-0.02074,-0.001215
202107,-0.050469,-0.078336,0.008907,-0.085183,-0.047785,0.002084
202108,0.019653,0.018032,0.017127,-0.022396,-0.000683,0.001936
202109,-0.051162,-0.043745,-0.0409,-0.154583,0.020647,-0.000992
202110,0.042404,0.111101,0.007346,0.038134,0.010448,0.001654
202111,0.002593,0.047132,0.010701,0.02562,0.001948,-0.000472
202112,0.032554,0.005602,-0.004552,-0.05617,0.053642,0.000742
202201,-0.004726,-0.02456,-0.003204,-0.029716,0.007034,-0.000879
202202,-0.049006,-0.012632,0.014123,-0.061025,0.002859,0.00324
202203,0.044814,0.127658,-0.016334,-0.015007,0.02381,0.000357
202204,0.042058,0.024937,-0.034105,0.051585,0.013197,0.000832
202205,0.028558,0.041189,0.000903,0.02329,0.027471,0.001085
202206,0.039809,0.138857,-0.006651,0.071687,0.012439,0.002645
202207,0.060224,-0.024359,-0.024231,-0.061532,-0.023913,-0.000974
202208,0.038678,0.088202,0.006559,-0.0147,0.017688,0.002658
202209,-0.093233,-0.062762,-0.007826,-0.054007,0.105662,0.000932
202210,0.032682,-0.099025,0.012575,0.012298,0.044819,0.001499
202211,0.077952,0.056809,0.007639,-0.024388,0.020689,0.000524
202212,-0.030004,-0.016731,0.007971,-0.025617,0.018666,-0.000819
202301,0.021816,0.037925,0.005663,0.008192,0.025805,0.001957
202302,0.006276,0.045292,0.024498,-0.001989,0.018099,0.001772
202303,0.050421,0.051977,0.00417,0.046645,0.076237,-0.002013
202304,0.014911,0.012383,0.01103,-0.057864,-0.027254,-0.000691
202305,-0.042828,0.013043,-0.019883,0.019776,0.009466,-0.000278
202306,0.073512,0.108246,0.003008,0.058634,0.0195,0.000792
202307,-0.017445,-0.02611,0.019485,0.010675,0.034917,0.00108
202308,0.009022,-0.006686,0.029241,-0.047736,-0.001858,-0.000395
202309,-0.010296,-0.009657,-0.012848,-0.012749,0.068151,-0.000613
202310,0.108963,0.073984,-0.002722,-0.068404,-0.002746,-0.000157
202311,-0.010537,-0.005446,-0.013319,-0.088165,-0.02811,5.1e-05
202312,0.030536,0.047082,-0.003654,-0.0089,-0.015049,-0.000172
202401,0.076449,0.095496,-0.008527,0.019821,0.053877,0.001918
202402,0.01608,0.016306,-0.029912,-0.024318,-0.017173,0.000114
202403,0.007419,0.058587,0.001565,0.016128,0.027655,0.000404
202404,-0.017784,-0.090908,0.006884,-0.045692,-0.039978,0.002929
202405,0.021741,0.043811,0.023849,0.006573,0.06138,0.000991
202406,0.062121,0.127661,0.017126,0.089986,-0.012827,0.000425
202407,0.001321,0.031797,0.010193,-0.028661,0.057953,0.00226
202408,-0.066816,-0.053685,0.001143,-0.011172,-0.030821,0.000715
202409,0.012353,0.04978,0.020448,-0.065612,-0.097376,0.001842
202410,0.062422,0.066462,-0.00499,0.050358,0.068551,-0.000326
202411,-0.01088,0.067756,-0.004591,0.05244,-0.022632,0.00133
202412,-0.053679,-0.053855,0.000324,0.003047,-0.004252,6.1e-05
