date,AAPL_jp,MSFT_jp,TOPIX,JGB10Y
2023-01-02,100.2,101.59,99.47,100.03
2023-01-03,100.05,102.0,99.44,100.31
2023-01-04,100.97,102.02,99.38,100.41
2023-01-05,101.15,102.62,99.35,100.23
2023-01-06,100.43,103.58,99.33,100.33
2023-01-09,100.97,102.69,98.7,100.29
2023-01-10,102.84,102.34,97.67,100.21
2023-01-11,104.23,102.56,97.03,100.05
2023-01-12,103.25,101.88,98.1,100.05
2023-01-13,101.49,101.74,98.48,100.04
2023-01-16,100.64,103.45,99.08,99.97
2023-01-17,100.73,102.22,100.49,99.71
2023-01-18,97.57,104.76,99.31,99.39
2023-01-19,97.3,107.3,99.84,99.42
2023-01-20,95.66,105.04,98.78,99.46
2023-01-23,94.73,104.88,98.46,99.87
2023-01-24,94.04,105.37,98.96,99.84
2023-01-25,93.66,104.39,100.6,100.04
2023-01-26,94.22,103.45,99.82,100.27
2023-01-27,95.62,103.17,99.74,100.26
2023-01-30,95.48,104.16,100.92,100.28
2023-01-31,97.34,103.52,99.43,100.2
2023-02-01,96.47,105.96,99.81,100.55
2023-02-02,96.97,106.38,99.52,100.26
2023-02-03,98.22,106.27,98.65,100.26
2023-02-06,98.38,108.26,98.81,100.53
2023-02-07,97.4,109.15,99.42,100.51
2023-02-08,96.19,109.69,98.53,100.4
2023-02-09,95.62,109.26,98.92,100.45
2023-02-10,95.94,111.82,99.11,100.56
2023-02-13,94.63,113.0,97.89,100.67
2023-02-14,94.39,112.74,99.45,100.73
2023-02-15,94.21,110.55,100.56,100.87
2023-02-16,94.94,111.1,99.71,101.06
2023-02-17,95.26,109.55,99.13,100.85
2023-02-20,95.75,107.23,99.92,100.78
2023-02-21,94.92,106.89,99.44,100.95
2023-02-22,94.78,107.3,97.63,101.05
2023-02-23,95.84,109.07,98.68,101.1
2023-02-24,97.88,109.49,98.7,101.23
2023-02-27,96.21,110.64,100.63,101.41
2023-02-28,98.28,108.98,101.01,101.25
2023-03-01,100.16,108.97,101.22,101.02
2023-03-02,101.28,109.18,104.21,100.81
2023-03-03,101.68,110.4,104.05,101.17
2023-03-06,101.27,110.59,103.07,100.97
2023-03-07,103.37,111.75,103.32,100.93
2023-03-08,106.25,111.07,104.53,100.9
2023-03-09,108.97,111.6,103.32,101.1
2023-03-10,111.01,112.22,102.39,100.77
2023-03-13,111.59,110.5,102.88,100.76
2023-03-14,109.77,110.77,99.63,101.0
2023-03-15,109.8,110.36,98.55,101.22
2023-03-16,110.83,107.77,99.36,101.3
2023-03-17,108.91,109.11,98.79,101.25
